LastName, FirstName, Course, Position
Cabrinha, Mark  ,  Architecture, Professor and Asssociate Dean
Cacciamani, Laura  ,  Psychology and Child Development, Assistant Professor
Cai, Xiaowei  ,  Agribusiness, Professor
Call, Lewis W. ,  History, Professor
Callenes-Sloan, Joseph  ,  Computer Engineering, Electrical Engineering, Assistant Professor
Camp, Charles D. ,  Mathematics, Associate Professor
Campbell, Brad  ,  English, Associate Professor
Campbell, Tammy  ,  Chemistry and Biochemistry, Assistant Professor
Campos Chillon, Fernando  ,  Animal Science, Professor
Cannon, Karen J. ,  Agricultural Education and Communication, Assistant Professor
Caplan, Lana Z ,  Art and Design, Assistant Professor
Cardinal, Kristen O'Halloran ,  Biomedical Engineering, Professor
Cardinal, Trevor  ,  Biomedical Engineering, Professor
Carlton, Matthew A. ,  Statistics, Professor
Carr, Chris A. ,  Accounting, Professor
Carrigan, Coleen M. ,  Social Sciences, Associate Professor
Carroll, Jennifer  ,  Chemistry and Biochemistry, Professor
Carter, Amy  ,  Orfalea College of Business, Assistant Dean
Casassa, Luis Federico ,  Wine and Viticulture, Associate Professor
Castillo, Alfred  ,  Management, HR, and Information Systems, Assistant Professor
Castro, Luis  ,  Food Science and Nutrition, Assistant Professor
Cavaletto, Richard A. ,  College of Agriculture, Food and  Environmental Sciences, Executive Associate Dean
Cerf, Douglas C. ,  Accounting, Professor Emeritus (FERP)
Chadwell, Charles  ,  Civil and Environmental Engineering, Professor  and Department Chair
Chamberlain, David  ,  Accounting, Assistant Professor
Champney, Danielle  ,  Mathematics, Associate Professor
Chance, Beth L. ,  Statistics, Professor
Charalampidis, Stathis  ,  Mathematics, Assistant Professor
Chen, Sophia  ,  World Languages and Cultures, Associate Professor
Chen, John  ,  Mechanical Engineering, Professor
Chen, Leida  ,  Management, HR, and Information Systems, Professor and Area Chair
Cheuk, Tina  ,  School of Education, Assistant Professor
Chiu, Yi-wen  ,  Natural Resources Management and Environmental Sciences, Associate Professor
Choboter, Paul F. ,  Mathematics, Professor
Choudhury, Gour  ,  Food Science and Nutrition, Professor Emeritus (FERP)
Christiansen, Jodi  ,  Physics, Professor
Clague, David  ,  Biomedical Engineering, Professor
Clark, Robert D. ,  Kinesiology, Professor
Clay, Gary R. ,  Landscape Architecture, Professor Emeritus (FERP)
Cleary, Joseph  ,  Construction Management, Assistant Professor
Clement, Sandra L. ,  Biological Sciences, Associate Professor
Clements, John  ,  Computer Science, Professor
Clifford, Dale T. ,  Architecture, Associate Professor
Cobb, Richard  ,  Natural Resources Management and Environmental Sciences, Assistant Professor
Cole, Matthew  ,  Economics, Associate Professor
Colvin, Kurt  ,  Industrial and Manufacturing Engineering, Professor
Conway-Silva, Bethany A. ,  Communication Studies, Associate Professor
Costanzo, Philip  ,  Chemistry and Biochemistry, Professor
Costello, Enrica Lovaglio ,  Art and Design, Associate Professor
Costello, Michael J. ,  Wine and Viticulture, Professor
Cravens, R.G.  ,  Political Science, Assistant Professor
Crockett, Robert  ,  College of Engineering, Biomedical Engineering, Associate Dean and Professor
Crutchfield, Stephen A. ,  School of Education, Assistant Professor
D'Avignon, India  ,  Music, Professor and Department Chair
da Silva, Bruno  ,  Computer Science, Assistant Professor
Dahm, Patricia  ,  Management, HR, and Information Systems, Associate Professor
Dandekar, Hemalata  ,  City and Regional Planning, Professor Emeritus (FERP)
Dang, Li  ,  Accounting, Professor and Area Chair
Daniels, Denise H. ,  Psychology and Child Development, Professor
Danowitz, Andrew R. ,  Computer Engineering, Electrical Engineering, Associate Professor
Dao, Linh  ,  Art and Design, Assistant Professor
Davidson, Jean M. ,  Biological Sciences , Assistant Professor
Davis, Steven C. ,  Kinesiology, Professor
Davis, Brennan  ,  Marketing, Professor
Davol, Andrew I. ,  Mechanical Engineering, Professor
Day, Miran  ,  Landscape Architecture, Assistant Professor
de la Fuente, Javier  ,  Industrial Technology and Packaging, Associate Professor
De Lay, Ann M. ,  Agricultural Education and Communication, Associate Professor
DeBruhl, Bruce E. ,  Computer Engineering, Computer Science, Associate Professor
Decock, Charlotte L.M. ,  Natural Resources Management and Environmental Sciences, Horticulture and Crop Science, Assistant Professor
Deffo, Arnold  ,  Aerospace Engineering, Assistant Professor
Deif, Ahmed  ,  Industrial Technology and Packaging, Associate Professor
Deigert, Michael  ,  Architectural Engineering, Assistant Professor
Dekhtyar, Alexander  ,  Computer Science, Professor
Del Rio Nascimento, Vicente  ,  City and Regional Planning, Professor
Delbridge, Timothy A. ,  Agribusiness, Assistant Professor
Den Hartog, Christopher  ,  Political Science, Professor
Den Otter, Ronald  ,  Political Science, Professor
Denbow, Jennifer  ,  Political Science, Associate Professor
DePiero, Fred  ,  Electrical Engineering, Professor
Derelian, Doris  ,  Food Science and Nutrition, Professor Emeritus (FERP)
Derickson, Dennis  ,  Electrical Engineering, Professor
DeTurris, Dianne J. ,  Aerospace Engineering, Professor
Dhillon, Anuraj  ,  Communication Studies, Assistant Professor
Dicus, Christopher A. ,  Natural Resources Management and Environmental Sciences, Professor
Dietterick, Brian C. ,  Natural Resources Management and Environmental Sciences, Professor and Director, Swanton Pacific Ranch
Dilworth, Kathryn F. ,  College of Science and Mathematics, Assistant Dean
Dimitrova, Elena  ,  Mathematics, Associate Professor
Ding, Shunping  ,  Wine and Viticulture, Horticulture and Crop Science, Assistant Professor
Disanto, Thomas L. ,  Architecture, Professor
Djassemi, Manocher  ,  Industrial Technology and Packaging, Professor and Area Chair
Dobson, John  ,  Finance, Professor and Area Chair
Dodson Peterson, Jean  ,  Wine and Viticulture, Associate Professor
Doi, Jimmy A. ,  Statistics, Professor
Dolan, Dale S. L. ,  Electrical Engineering, Professor and Assistant Department Chair
Donegan, Lorraine D. ,  Graphic Communication, Professor
Dong, Kevin J. ,  Architectural Engineering, Professor
Donig, Deb  ,  English, Assistant Professor
Doremus, Jaqueline  ,  Economics, Assistant Professor
Drake, Aaron  ,  Aerospace Engineering, Professor
Duffy, Bernard K. ,  Communication Studies, Professor Emeritus (FERP)
Durham, Garland B. ,  Finance, Associate Professor
Eagon, Scott C. ,  Chemistry and Biochemistry, Associate Professor
Easton, Robert W. ,  Mathematics, Associate Professor
Echols, Robert  ,  Physics, Professor
Eckhardt, Christian  ,  Computer Science, Assistant Professor
Edwards, Mark S. ,  Animal Science, Professor
Edwards, Louise O.V. ,  Physics, Assistant Professor
Eisty, Nasir  ,  Computer Science, Assistant Professor
El Badawy, Amr  ,  Civil and Environmental Engineering, Assistant Professor
Elghandour, Elthary  ,  Mechanical Engineering, Professor
Eller, Dan  ,  Journalism, Professor Emeritus (FERP)
Ellis, Allison M. ,  Management, HR, and Information Systems, Assistant Professor
Emberley, Richard  ,  Mechanical Engineering, Assistant Professor
Emyan, Mariam  ,  College of Architecture and  Environmental Design, Assistant Dean
Espinoza-Wade, Eric  ,  Mechanical Engineering, Assistant Professor
Esquivel, Ramon  ,  Theatre and Dance, Assistant Professor
Estes, Allen C. ,  Architectural Engineering, Professor and Department Head
Estrada, Aaron R. ,  Psychology and Child Development, Associate Professor
Fagan, Kevin  ,  World Languages and Cultures, Professor Emeritus (FERP)
Fang, Dongfeng  ,  Computer Science, Associate Professor
Faruque, Omar  ,  Landscape Architecture, Professor Emeritus (FERP)
Faure, Pauline  ,  Aerospace Engineering, Assistant Professor
Feng, Yiming  ,  Food Science and Nutrition, Assistant Professor
Fernando, Raymond  ,  Chemistry and Biochemistry, Professor
Fernflores, Francisco  ,  Philosophy, Professor
Fernflores, Rachel  ,  Philosophy, Associate Professor
Fernsler, Jonathan  ,  Physics, Professor
Fidopiastis, Pantelis M. ,  Biological Sciences, Professor
Fiegel, Gregg L. ,  Civil and Environmental Engineering, Professor
Fiorenza, Giancarlo  ,  Art and Design, Professor
Firpo, Christina E. ,  History, Professor
Fischer, Stefanie  ,  Economics, Assistant Professor
Fisher, Eric  ,  Economics, Professor
Fitzhenry, William  ,  English, Professor
Fleischer, Amy S. ,  College of Engineering, Dean
Flores, Carlos A. ,  Economics, Professor
Floyd, Barry  ,  Management, HR, and Information Systems, Professor Emeritus (FERP)
Flushman, Tanya R. ,  School of Education, Associate Professor
Fogle, Emily  ,  Chemistry and Biochemistry, Professor
Folk, Elizabeth  ,  Art and Design, Assistant Professor
Forster, Sophia  ,  English, Associate Professor
Fowler, Thomas , IV, FAIA ,  Architecture, Professor
Foxen, Anya P. ,  Philosophy, Assistant Professor
Frame, Samuel  ,  Statistics, Professor
Francis, Clinton D. ,  Biolocial Sciences, Associate Professor
Frantz, Sara J. ,  Art and Design, Associate Professor
Frantz, Derik K. ,  Chemistry and Biochemistry, Associate Professor
Freberg, Laura A. ,  Psychology and Child Development, Professor
Freed, Tali  ,  Industrial and Manufacturing Engineering, Professor
Fricker, Geoffrey Andrew ,  Social Sciences, 
Frye, Amanda  ,  Liberal Studies, Assistant Professor
Funston-Timms, Benjamin F. ,  Social Sciences, Professor and Department Chair
Galanti, Tera  ,  Art and Design, Associate Professor
Galvan-Mandujano, Martha Carolina ,  World Languages and Cultures, Assistant Professor
Garcia, Antonio F. ,  Physics, Professor
Garcia, Julie A. ,  Psychology and Child Development, Professor
Garner, Lauren C. ,  Horticulture and Crop Science, Professor
Gaudi, Franklin  ,  BioResource and Agricultural Engineering, Assistant Professor
Gearhart, Richard O. ,  Journalism, Associate Professor
Gharibyan, Hasmik  ,  Computer Science, Professor
Ghoddusi, Hamed  ,  Finance, Assistant Professor
Giberti, Bruno  ,  Architecture, Academic Programs and Planning, Professor and Associate Vice Provost
Gill, Samantha J. ,  Natural Resources Management and Environmental Sciences, BioResource and Agricultural Engineering, Professor
Gillen, Glen D. ,  Physics, Professor
Gillen, Katharina  ,  Physics, Professor
Gillette, David  ,  English, Liberal Arts and Engineering Studies, Professor and LAES Co-Director
Glanz, Hunter S. ,  Statistics, Associate Professor
Glick, Mary M. ,  Journalism, Department Chair
Glysson, Scott  ,  Music, Assistant Professor
Goel, Rakesh K. ,  College of Engineering, Civil and Environmental Engineering, Executive Associate Dean and Professor
Goldenberg, Marni  ,  Experience Industry Management, Professor
Goodman, Anya  ,  Chemistry and Biochemistry, Professor
Gopalan, Giri  ,  Statistics, Assistant Professor
Gorman, Larry R. ,  Finance, Professor
Gragson, Derek E. ,  College of Science and Mathematics, Chemistry and Biochemistry, Associate Dean and Professor
Granger, Brian E. ,  Physics, Professor
Greenbaum, Bruce  ,  Management, HR, and Information Systems, Associate Professor
Greenwood, Jerusha B. ,  Experience Industry Management, Interim Department Head  Associate Professor
Greenwood, P. Brian  ,  Experience Industry Management, Professor
Greever, Cory J. ,  Kinesiology, Assisant Professor
Greve, Adrienne I. ,  City and Regional Planning, Professor
Griffin, Lanny  ,  Biomedical Engineering, Professor
Grossenbacher, Dena L. ,  Biological Sciences, Assistant Professor
Grundmeier, Todd A. ,  Mathematics, Professor
Gu, Caixing  ,  Mathematics, Professor
Guise, Megan  ,  School of Education, Professor
Gutierrez, Thomas D. ,  Physics, Professor
Haberland, Matthew D. ,  BioResource and Agricultural Engineering, Assistant Professor
Habib, Kenneth  ,  Music, Professor
Hackman, Christine L.  ,  Kinesiology, Associate Professsor
Hagen, John  ,  Chemistry and Biochemistry, Professor
Hagobian, Todd A. ,  Kinesiology, Professor
Hailer, Jason D. ,  Construction Management, Assistant Professor
Hajrasouliha, Amir  ,  City and Regional Planning, Assistant Professor
Hall, Garrett J. ,  Civil and Environmental Engineering, Professor
Hall, Kellie Green ,  College of Science and Mathematics, Kinesiology, Associate Dean and Professor
Hamachi, Leslie  ,  Chemistry and Biochemistry, Assistant Professor
Hamilton, Lynn  ,  Agribusiness, Professor
Hamilton, Margaret E. ,  Mathematics, Professor
Hamilton, Stephen  ,  Economics, Professor
Hampsey, John C. ,  English, Professor
Hanson, James L. ,  Civil and Environmental Engineering, Professor
Harding, Trevor S. ,  Materials Engineering, Professor and Department Chair
Hardy, Kristina  ,  Biological Sciences, Associate Professor
Harsh, Matthew  ,  Interdisciplinary Studies in the Liberal Arts, Associate Professor
Hatch, Ryan  ,  English, Associate Professor
Hauck, Allan  ,  Construction Management, Professor Emeritus (FERP)
Haungs, Michael L. ,  Computer Science; Liberal Arts and Engineering Studies, Professor and LAES Co-Director
Hawkins, Benjamin George ,  Biomedical Engineering, Electrical Engineering, Assistant Professor
Haynes, M. Taylor  ,  Chemistry and Biochemistry, Assistant Professor
Hazelwood, Scott  ,  Biomedical Engineering, Professor
Headrick, David H. ,  Horticulture and Crop Science, Professor
Healy, Brian P. ,  Theatre and Dance, Assistant Professor
Helmbrecht, Brenda  ,  English, Professor
Helms, Eleanor D. ,  Philosophy, Associate Professor
Hendricks-Bolen, Karin A. ,  Theatre and Dance, Assistant Professor
Hess, Jeffrey  ,  Marketing, Associate Professor and Area Chair
Hewavitharana, Shashika  ,  Horticulture and Crop Science, Assistant Professor
Heying, Michael D. ,  Chemistry and Biochemistry, Assistant Professor
Heylman, Christopher M. ,  Biomedical Engineering , Assistant Professor
Hickman, Emily  ,  Accounting, Assistant Professor
Higgins, Lindsey M. ,  Agribusiness, Associate Professor
Hill, Margarita M. ,  Landscape Architecture, Professor Emeritus (FERP)
Hill, Alessandro  ,  Industrial and Manufacturing  Engineering, Assistant Professor
Hillers, Kenneth J. ,  Biological Sciences, Professor and Department Chair
Himelblau, Edward T. ,  Biological Sciences, Professor
Hoellwarth, Chance  ,  Physics, Professor
Holladay, Bret  ,  Statistics, Assistant Professor
Holtzapple, Robert  ,  Physics, Professor
Hoover, Benjamin K. ,  Horticulture and Crop Science, Associate Professor
Hopper, Matthew S. ,  History, Professor
Horney, Marc R. ,  Animal Science, Professor
Howe, Patrick C. ,  Journalism, Associate Professor
Howes, Daniel J. ,  BioResource and Agricultural Engineering, Professor
Hurley, Sean P. ,  Agribusiness, Professor and Department Head
Hurt, Shelley L. ,  Political Science, Associate Professor
Huzzey, Juliana M. ,  Animal Science, Associate Professor
Hydock, Chris  ,  Marketing, Assistant Professor
Immoos, Chad E. ,  Chemistry and Biochemistry, Professor
Iscold, Paulo  ,  Aerospace Engineering, Associate Professor
Isom, Denise A. ,  Ethnic Studies, Professor and Department Chair
Jackson, Douglas  ,  Architecture, Professor
Jackson, Lorraine D. ,  Communication Studies, Associate Professor
Jackson, Thanayi  ,  History, Assistant Professor
Jaggia, Sanjiv  ,  Economics, Professor
James, Jonathan  ,  Economics, Associate Professor
James, Jeremy  ,  Natural Resources Management and Environmental Sciences, Professor and Department Head
Jankovitz, Kristine Z. ,  Kinesiology, Professor and Department Chair
Jansen, Daniel  ,  Civil and Environmental Engineering, Professor
Janzen, David S. ,  Computer Science, Professor
Jasbinsek, John J. ,  Physics, Professor
Jeffery, Elizabeth  ,  Physics, Assistant Professor
Jenkins, Ryan  ,  Philosophy, Associate Professor
Jensen, Jessica L. ,  School of Education, Assistant Professor
Jin, Xiaomin  ,  Electrical Engineering, Professor
Jipson, Jennifer  ,  Psychology and Child Development, Professor
Johnston, Scott C. ,  Physics, Professor
Johnston, Liz B. ,  Social Sciences, Assistant Professor
Jones, Dane R. ,  Chemistry and Biochemistry, Professor
Jones, Eric  ,  Chemistry and Biochemistry, Associate Professor
Jones, R. Thomas  ,  Architecture, Professor Emeritus
Jones, Terry L. ,  Social Sciences, Professor
Jones, Barry  ,  Construction Management, Professor Emeritus (FERP)
Jovanovic, Jasna  ,  Psychology and Child Development, Professor and Department Chair
Jung, Stephanie  ,  Food Science and Nutrition, Professor and Department Head
Kabaker, Russ  ,  College of Agriculture, Food and Environmental Sciences, Assistant Dean
Kachlakev, Damian I. ,  Civil and Environmental Engineering, Professor
Kaczorowski, Jessica  ,  Psychology and Child Development, Assistant Professor
Kane, Steven  ,  School of Education, Professor Emeritus
Kang, Iksoon  ,  Animal Science, Professor
Kantorowski, Eric J. ,  Chemistry and Biochemistry, Professor
Kasper, Eric P. ,  Civil and Environmental Engineering, Professor
Kathuria, Ajay  ,  Industrial Technology and Packaging , Associate Professor
Kato, Goro C. ,  Mathematics, FERP
Katona, Thomas M. ,  Biomedical Engineering, Associate Professor
Kauffmann, Krista J. ,  English, Associate Professor
Kaul, Anton  ,  Mathematics, Professor
Kazerouni, Ayaan M. ,  Computer Engineering, Assistant Professor
Keadle, Sarah K. ,  Kinesiology, Associate Professor
Kean, Andrew J. ,  Mechanical Engineering, Professor
Kearns, Timothy J. ,  Computer Science, Associate Professor
Keeling, Elena L. ,  Biological Sciences, Professor
Keen, Aaron W. ,  Computer Science, Professor
Keese, James R. ,  Social Sciences, Professor
Keesey, Douglas  ,  English, Professor and Department Chair
Keif, Malcolm G. ,  Graphic Communication, Professor
Keim, Nathan C. ,  Physics, Assistant Professor
Keller, John M. ,  Physics, Professor
Kelting, Scott D. ,  Construction Management, Professor
Kelting, Mary  ,  Orfalea College of Business, Assistant Dean
Kennelly, Brian  ,  World Languages and Cultures, Professor
Khosmood, Foaad  ,  Computer Engineering, Computer Science, Associate Professor
Kingsbury, Kevin B. ,  Chemistry and Biochemistry, Professor
Kirby, David  ,  Interdisciplinary Studies in the Liberal Arts, Associate Professor and Department Chair
Kirk, Colleen M. ,  Mathematics, Professor
Kiste, Alan L. ,  Chemistry and Biochemistry, Associate Professor
Kitts, Christopher L. ,  Biological Sciences, Professor Emeritus (FERP)
Klay, Jennifer L. ,  Physics, Professor
Klisch, Stephen M. ,  Mechanical Engineering, Professor
Knight, Charles A. ,  Biological Sciences, Professor
Kolegraff, Stacy  ,  Construction Management, Assistant Professor
Kolkailah, Faysal  ,  Aerospace Engineering, Professor Emeritus (FERP)
Kolluru, Gita R. ,  Biological Sciences, Professor
Kolodziejski, Lauren R. ,  Communication Studies, Associate Professor
Krifka, Laura  ,  Art and Design, Assistant Professor
Kuhn-Choi, Don H. ,  Architecture, Professor
Kurfess, Franz J. ,  Computer Science, Professor 
Kuriabova, Tatiana  ,  Physics, Associate Professor
La Frano, Michael  ,  Food Science and Nutrition, Assistant Professor
Lacanienta, Andrew  ,  Experience Industry Management, Assistant Professor
Laiho, Lily  ,  Biomedical Engineering, Professor and Department Chair
Lambertz-Berndt, Megan M. ,  Communication Studies, Assistant Professor
Lammert, Amy  ,  Food Science and Nutrition, Associate Professor
Lange, Karen F. ,  Architecture, Professor
Langner, Carrie A. ,  Psychology and Child Development, Professor
Lappe, Martine Danielle ,  Social Sciences, Assistant Professor
Lathrop, Amanda A. ,  Food Science and Nutrition, Professor
Latner, Michael  ,  Political Science, Professor
Laursen, Peter T. ,  Architectural Engineering, Professor
Laver, Gary D. ,  Psychology and Child Development, Professor
Lawson, John W. ,  Architectural Engineering, Professor
Lease, Terry  ,  Wine and Viticulture, Professor
Lecat, Benoit  ,  Wine and Viticulture, Professor and Department Head
Lee, Linda  ,  Psychology and Child Development, Associate Professor
Lee, Jean L. ,  Materials Engineering, Associate Professor
Lee, Jess  ,  Social Sciences, Assistant Professor
Lehr, Corinne  ,  Chemistry and Biochemistry, Professor
Lehr, Jane L. ,  Ethnic Studies, Women’s and Gender Studies, Professor
Leithner, Anika  ,  Political Science, Professor and Department Chair
Lema, Sean C. ,  Biological Sciences, Professor
Lemieux, Patrick  ,  Mechanical Engineering, Professor
Lepore, Jason  ,  Economics, Professor
Lertwachara, Kevin  ,  Management, HR, and Information Systems, Professor
Liddicoat, Albert  ,  Electrical Engineering, Computer Engineering, Professor
Liese, Jeffrey E. ,  Mathematics, Professor
Lin, Patrick  ,  Philosophy, Professor
Lin, Joyce T. ,  Mathematics, Associate Professor
Lin, Kevin  ,  Experience Industry Management, Associate Professor
Liu, Bo  ,  BioResource and Agricultural Engineering, Associate Professor
Livingston, Peter A. ,  BioResource and Agricultural Engineering, Professor and Department Head
Liwanag, Heather   ,  Biological Sciences, Associate Professor
Lloyd-Moffett, Stephen  ,  Philosophy, Professor
Loberg, Molly J. ,  History, Professor
LoCascio, James Gaspare ,  Mechanical Engineering, Associate Professor
London, Blair  ,  Materials Engineering, Professor Emeritus (FERP)
Long, Todd  ,  Philosophy, Professor
Lopus, Sara E. ,  Social Sciences, Assistant Professor
Lowham, Elizabeth A. ,  Political Science, Professor
Lucas, Michael Austin ,  Architecture, Professor Emeritus
Lund, Ulric J. ,  Statistics, Professor
Lundquist, Tryg J. ,  Civil and Environmental Engineering, Professor
Lupo, Christopher  ,  Computer Engineering, Computer Science, Professor and Department Chair
Lutz, Benjamin  ,  Mechanical Engineering, Assistant Professor
Lynch, Joseph  ,  Philosophy, Professor Emeritus (FERP)
Ma , Ruoxi  ,  Graphic Communication, Assistant Professor
Maber, David A. ,  Accounting, Associate Professor
MacCarley, Arthur Carl ,  Electrical Engineering, Professor
MacDougall, Neal A. ,  Agribusiness, Associate Professor
Macedo, Jose  ,  Industrial and Manufacturing Engineering, Professor Emeritus (FERP)
Machamer, Joshua T. ,  Theatre and Dance, Professor
Mackin, Thomas J. ,  Mechanical Engineering, Professor
Macro, Kenneth L. ,  Graphic Communication, Professor
Maddren, Jesse  ,  Mechanical Engineering, Professor Emeritus (FERP)
Mahadev, Sthanu  ,  Mechanical Engineering, Assistant Professor
Main, Kelly D. ,  City and Regional Planning, Associate Professor
Maitland, Padma  ,  Architecture, Assistant Professor
Malama, Bwalya  ,  Natural Resources Management and Environmental Sciences, Associate Professor
Malcom, Lorna A. ,  College of Architecture and Environmental Design, Assistant Dean
Manjarin, Rodrigo  ,  Animal Science, Assistant Professor
Marchbanks, Paul  ,  English, Professor
Marijuan, Silvia  ,  World Languages and Cultures, Associate Professor
Marlier, John F. ,  Chemistry and Biochemistry, Professor
Marlow , , Colleen A. (2014, Associate Professor
Marshall, David D. ,  Aerospace Engineering, Professor and Department Chair
Martinez, Andres W. ,  Chemistry and Biochemistry, Associate Professor
Martinez, Charmaine  ,  Art and Design, Associate Professor
Martinez, Nathaniel W. ,  Biological Sciences, Associate Professor
Martinez, Shanae A. ,  English, Assistant Professor
Mase, Tom  ,  Mechanical Engineering, Professor
Mastoridis, Themistoklis  ,  Physics, Associate Professor
Maurice, Stefanee  ,  Kinesiology, Assistant Professor
Mayer, Hans  ,  Mechanical Engineering, Assistant Professor
McCormick, Kathryn E. ,  Art and Design, Professor
McCullough, Michael P. ,  Agribusiness, Professor
McDaniel, Cole C. ,  Architectural Engineering, Professor
McDonald, Ashley  ,  Chemistry and Biochemistry, Associate Professor
McDonald, Margot K. ,  Architecture, Professor and Department Head
McDonald, Casey  ,  Journalism, Assistant Professor
McFarlane, Zach  ,  Animal Science, Assistant Professor
McGaughey, Karen J. ,  Statistics, Professor
McLamore, Alyson  ,  Music, Professor
McNeil Chand, Christina J. ,  Theatre and Dance, Associate Professor and Interim Department Chair
Mealy, Bryan J. ,  Computer Engineering, Electrical Engineering, Professor
Medina, Elsa  ,  Mathematics, Professor
Medizade, Mason  ,  Mechanical Engineering, Professor
Mehiel, Eric A. ,  College of Engineering, Aerospace Engineering, Associate Dean and Professor
Mello, Joseph D. ,  Mechanical Engineering, Professor
